cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"29331","3293","67870","0","TC FEDERAL BANK","Thomasville","GA","31792","3/31/2019","5/19/2019","SA","131 South Dawson Street","","2","0","1","4","0","Thomas","","","1/1/1934","1/28/1935","1/1/2018","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.tcfederal.com","47","299927","19212","14032","25380","0","235700","3230","0","3433","351","0","15851","299928","260775","253721","234712","253721","86.3994073163331","0","0","2950","0","4104","39153","39153","0","0","0","39153","0","1279","0","902","275112","110851","298563.5","298563.5","226939","296107","10047","10047","0","0","14309","1684","2950","0","30753","38202","2841","30753","0"
"28330","1384","266271","2389941","TCF National Bank","Sioux Falls","SD","57106","3/31/2019","5/19/2019","N","2508 South Louise Avenue","TCF FINANCIAL CORPORATION","331","0","1","4","0","Minnehaha","43620","Sioux Falls, SD","1/1/1923","3/25/1936","10/31/2009","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Western","West","0","0","http://www.tcfbank.com","5041","24432081","464617","179661","3093366","0","19300171","147972","0","425496","18361","174461","955609","24432081","21874690","19133435","14981279","19133435","91.6911930514131","0","0","1617831","256114","867310","2557391","2527939","0","241900","1012760","1273279","29452","110407","4160","87486","22573198","6593249","24070054.5","24070054.5","20998856","23962568","0","0","0","0","1060469","100","1400000","64468","3399545","2376544","365912","3399545","1875911"
"34535","0","2687487","0","TCM Bank, National Association","Tampa","FL","33607","3/31/2019","5/19/2019","N","2701 N Rocky Pointe Drive, #","","1","0","0","3","0","Hillsborough","45300","Tampa-St. Petersburg-Clearwater, FL","5/18/1998","5/18/1998","5/5/2008","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","0","http://www.icbabancard.org","79","286313","19436","17235","2958","0","256267","8533","0","969","0","2734","3949","286313","233543","220149","220108","220149","63.7456655772138","0","0","0","0","13394","52770","52770","0","568","20540","31662","0","2346","0","2005","276460","958","293044.5","293044.5","273010","290596","0","0","0","0","85588","441","0","0","1242198","50040","3481","1242198","0"
"33947","0","2121196","1238565","TD Bank USA, National Association","Wilmington","DE","19808","3/31/2019","5/19/2019","N","2035 Limestone Road","TORONTO-DOMINION BANK, THE","1","0","0","3","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10/13/1994","10/13/1994","3/13/2013","Stock","0","0","OCC","DIF","New York","WASHINGTON","Claymont","Philadelphia","Northeastern","Northeast","0","0","www.td.com/us/en/personal-banking/","72","18986260","3465801","3464878","5712763","0","8771338","710075","5983","0","0","12734","1017641","18986260","16243022","12808880","12758108","12808880","72.3004652687085","0","0","3109824","0","324318","2743238","2743238","0","1","1739004","1004233","0","203585","0","87286","17954962","1505321","20119736","20119736","10810080","19440489","0","0","0","0","2500000","0","0","0","53951598","2720724","142444","53951598","7627067"
"18409","8115","497404","1238565","TD Bank, National Association","Wilmington","DE","19808","3/31/2019","5/19/2019","N","2035 Limestone Road","TORONTO-DOMINION BANK, THE","1250","1","1","9","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/1/1852","7/1/1961","9/18/2017","Stock","0","1","OCC","DIF","New York","WASHINGTON","Claymont","Philadelphia","Northeastern","Northeast","0","0","www.td.com/us/en/personal-banking/","26154","301449780","10692060","8668098","116524972","0","149091044","1412084","19788","2547482","50187","12922581","9601666","301449780","261984336","257013401","215695018","257013401","72.975794632943","754848","0","114612","26300","4075175","39465444","39465444","0","0","31002753","8462691","0","1573301","63717","1122708","274303902","82949786","302059354.5","302059354.5","173437898","284836985","1699551","870026","600913","228612","4144703","42502","7942","99567","84673665","26557051","1499829","84673665","204138225"
"30395","5275","389376","0","Tecumseh Federal Bank","Tecumseh","NE","68450","3/31/2019","5/19/2019","SA","160 N 4th Street","","1","0","0","5","0","Johnson","","","1/1/1904","1/2/1958","7/21/2011","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","www.tecfedbank.com","10","49088","7948","7851","8508","0","29501","385","0","190","0","1","2940","49088","38832","36280","34732","36280","95.9871062911465","0","0","2095","0","457","10256","10256","0","0","0","10256","0","149","0","237","45860","26930","49676","49676","24556","50105","2227","2227","0","0","1788","1743","2072","0","3634","10353","307","3634","0"
"18216","0","857455","3951998","Tejas Bank","Monahans","TX","79756","3/31/2019","5/19/2019","NM","1405 South Stockton Avenue","SANDHILLS BANCSHARES, INC.","1","0","0","4","1","Ward","","","5/9/1960","5/9/1960","1/16/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.mytejasbank.com","15","177410","21573","15689","31132","19779","97815","1642","0","1413","0","2299","3399","177410","157831","157105","78228","157105","52.1557046296414","0","0","0","0","726","19579","19579","0","75","13447","6057","0","78","0","698","164415","29711","177141.5","177141.5","113811","169304","2231","2231","0","0","3309","693","0","0","14805","17348","1425","14805","0"
"969","0","366247","0","Templeton Savings Bank","Templeton","IA","51463","3/31/2019","5/19/2019","SM","103 S Main St","","2","0","0","2","0","Carroll","","","1/1/1923","1/1/1934","12/31/2008","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.templetonsavingsbank.com","17","121307","3935","3530","20781","1034","91333","1542","0","682","0","2102","1440","121307","101983","101295","81411","101295","88.3988248979672","0","0","0","0","688","19324","19324","0","150","1100","18074","0","92","0","1246","116678","25213","122192","122192","94733","121816","0","0","0","0","5285","2311","0","0","16859","17384","1188","16859","0"
"30615","5636","415770","0","Tempo Bank, A Federal Savings Bank","Trenton","IL","62293","3/31/2019","5/19/2019","SA","28 West Broadway Street","","2","0","0","5","0","Clinton","41180","St. Louis, MO-IL","1/1/1889","10/27/1953","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.tempobank.com","17","96809","1584","0","0","7319","85811","196","0","1100","115","0","880","96809","85926","75077","69026","75077","95.1299003631623","0","0","10319","0","530","10883","10883","0","0","4392","6491","0","547","0","258","93130","71234","96668","96668","50951","96732","0","0","0","0","7861","820","10000","0","0","10883","196","0","0"
"59101","0","5047505","0","Tennessee Bank & Trust","Nashville","TN","37215","3/31/2019","5/19/2019","NM","4007 Hillsboro Pike","","2","0","0","4","1","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","10/1/2017","10/1/2017","10/1/2017","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","","37","274720","8037","5265","42651","0","212714","2210","0","3858","1647","0","5813","274720","251650","249731","222452","249731","60.7261914766747","0","0","0","0","1919","23070","23070","0","0","23291","-221","0","102","0","799","260630","68974","266525.5","266525.5","236471","267764","2553","1136","0","1417","51471","30","0","0","30988","23372","2210","30988","0"
